species_key,common_name,scientific_name,entry_type,category_slug,output_filename,prompt,negative_prompt,metadata_license,notes
slender-betta_species,Slender Betta,Betta bellica,species,betta,slender-betta_species.jpg,"Realistic aquarium photograph style image of a Slender Betta fish (Betta bellica), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
akar-betta_species,Akar Betta,Betta akarensis,species,betta,akar-betta_species.jpg,"Realistic aquarium photograph style image of a Akar Betta fish (Betta akarensis), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
iban-betta_species,Iban Betta,Betta ibanorum,species,betta,iban-betta_species.jpg,"Realistic aquarium photograph style image of a Iban Betta fish (Betta ibanorum), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
browns-betta_species,Brown's Betta,Betta brownorum,species,betta,browns-betta_species.jpg,"Realistic aquarium photograph style image of a Brown's Betta fish (Betta brownorum), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
spotfin-betta_species,Spotfin Betta,Betta macrostoma,species,betta,spotfin-betta_species.jpg,"Realistic aquarium photograph style image of a Spotfin Betta fish (Betta macrostoma), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
apollo-betta_species,Apollo Betta,Betta apollon,species,betta,apollo-betta_species.jpg,"Realistic aquarium photograph style image of a Apollo Betta fish (Betta apollon), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
full-red-guppy_strain,Full Red Guppy,Poecilia reticulata,strain,livebearer,full-red-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Full Red Guppy (Poecilia reticulata), side profile, visible traits: red, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
albino-full-red-guppy_strain,Albino Full Red Guppy,Poecilia reticulata,strain,livebearer,albino-full-red-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Albino Full Red Guppy (Poecilia reticulata), side profile, visible traits: red, pale albino coloring with red eyes, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
24k-gold-guppy_strain,24K Gold Guppy,Poecilia reticulata,strain,livebearer,24k-gold-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a 24K Gold Guppy (Poecilia reticulata), side profile, visible traits: gold, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
blue-grass-guppy_strain,Blue Grass Guppy,Poecilia reticulata,strain,livebearer,blue-grass-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Blue Grass Guppy (Poecilia reticulata), side profile, visible traits: blue, fine speckled tail pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
red-grass-guppy_strain,Red Grass Guppy,Poecilia reticulata,strain,livebearer,red-grass-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Red Grass Guppy (Poecilia reticulata), side profile, visible traits: red, fine speckled tail pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
moscow-blue-guppy_strain,Moscow Blue Guppy,Poecilia reticulata,strain,livebearer,moscow-blue-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Moscow Blue Guppy (Poecilia reticulata), side profile, visible traits: blue, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
moscow-black-guppy_strain,Moscow Black Guppy,Poecilia reticulata,strain,livebearer,moscow-black-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Moscow Black Guppy (Poecilia reticulata), side profile, visible traits: black, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
japan-blue-guppy_strain,Japan Blue Guppy,Poecilia reticulata,strain,livebearer,japan-blue-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Japan Blue Guppy (Poecilia reticulata), side profile, visible traits: blue, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
tuxedo-guppy_strain,Tuxedo Guppy,Poecilia reticulata,strain,livebearer,tuxedo-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Tuxedo Guppy (Poecilia reticulata), side profile, visible traits: dark rear body with contrasting front color, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
half-black-red-guppy_strain,Half Black Red Guppy,Poecilia reticulata,strain,livebearer,half-black-red-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Half Black Red Guppy (Poecilia reticulata), side profile, visible traits: red, black, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
red-dragon-guppy_strain,Red Dragon Guppy,Poecilia reticulata,strain,livebearer,red-dragon-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Red Dragon Guppy (Poecilia reticulata), side profile, visible traits: red, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
dumbo-ear-guppy_strain,Dumbo Ear Guppy,Poecilia reticulata,strain,livebearer,dumbo-ear-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Dumbo Ear Guppy (Poecilia reticulata), side profile, visible traits: large rounded pectoral fins, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
koi-guppy_strain,Koi Guppy,Poecilia reticulata,strain,livebearer,koi-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Koi Guppy (Poecilia reticulata), side profile, visible traits: koi-like mottled color pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
snakeskin-guppy_strain,Snakeskin Guppy,Poecilia reticulata,strain,livebearer,snakeskin-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Snakeskin Guppy (Poecilia reticulata), side profile, visible traits: reticulated snakeskin body pattern, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
metal-head-guppy_strain,Metal Head Guppy,Poecilia reticulata,strain,livebearer,metal-head-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Metal Head Guppy (Poecilia reticulata), side profile, visible traits suggested by the common name, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
platinum-white-guppy_strain,Platinum White Guppy,Poecilia reticulata,strain,livebearer,platinum-white-guppy_strain.jpg,"Realistic aquarium photograph style illustrative placeholder of a Platinum White Guppy (Poecilia reticulata), side profile, visible traits: white, platinum, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
black-molly_variety,Black Molly,Poecilia sphenops,variety,livebearer,black-molly_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Black Molly (Poecilia sphenops), side profile, visible traits: black, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
balloon-molly_variety,Balloon Molly,Poecilia sphenops,variety,livebearer,balloon-molly_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Balloon Molly (Poecilia sphenops), side profile, visible traits: rounded compact body, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
dalmatian-molly_variety,Dalmatian Molly,Poecilia latipinna,variety,livebearer,dalmatian-molly_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Dalmatian Molly (Poecilia latipinna), side profile, visible traits suggested by the common name, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
lyretail-molly_variety,Lyretail Molly,Poecilia sphenops,variety,livebearer,lyretail-molly_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Lyretail Molly (Poecilia sphenops), side profile, visible traits: lyre-shaped tail, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
golden-molly_variety,Golden Molly,Poecilia sphenops,variety,livebearer,golden-molly_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Golden Molly (Poecilia sphenops), side profile, visible traits: gold, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
mickey-mouse-platy_variety,Mickey Mouse Platy,Xiphophorus maculatus,variety,livebearer,mickey-mouse-platy_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Mickey Mouse Platy (Xiphophorus maculatus), side profile, visible traits: dark tail-base markings, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
sunset-platy_variety,Sunset Platy,Xiphophorus maculatus,variety,livebearer,sunset-platy_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Sunset Platy (Xiphophorus maculatus), side profile, visible traits suggested by the common name, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
coral-red-platy_variety,Coral Red Platy,Xiphophorus maculatus,variety,livebearer,coral-red-platy_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Coral Red Platy (Xiphophorus maculatus), side profile, visible traits: red, coral, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
red-swordtail_variety,Red Swordtail,Xiphophorus hellerii,variety,livebearer,red-swordtail_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Red Swordtail (Xiphophorus hellerii), side profile, visible traits: red, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
pineapple-swordtail_variety,Pineapple Swordtail,Xiphophorus hellerii,variety,livebearer,pineapple-swordtail_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Pineapple Swordtail (Xiphophorus hellerii), side profile, visible traits suggested by the common name, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
hi-fin-swordtail_variety,Hi-fin Swordtail,Xiphophorus hellerii,variety,livebearer,hi-fin-swordtail_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Hi-fin Swordtail (Xiphophorus hellerii), side profile, visible traits: tall dorsal fin, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
powder-blue-dwarf-gourami_variety,Powder Blue Dwarf Gourami,Trichogaster lalius,variety,gourami,powder-blue-dwarf-gourami_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Powder Blue Dwarf Gourami (Trichogaster lalius), side profile, visible traits: blue, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
flame-dwarf-gourami_variety,Flame Dwarf Gourami,Trichogaster lalius,variety,gourami,flame-dwarf-gourami_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Flame Dwarf Gourami (Trichogaster lalius), side profile, visible traits: flame, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
blue-gourami_variety,Blue Gourami,Trichopodus trichopterus,variety,gourami,blue-gourami_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Blue Gourami (Trichopodus trichopterus), side profile, visible traits: blue, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
gold-gourami_variety,Gold Gourami,Trichopodus trichopterus,variety,gourami,gold-gourami_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Gold Gourami (Trichopodus trichopterus), side profile, visible traits: gold, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
opaline-gourami_variety,Opaline Gourami,Trichopodus trichopterus,variety,gourami,opaline-gourami_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a Opaline Gourami (Trichopodus trichopterus), side profile, visible traits suggested by the common name, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
sparkling-gourami_species,Sparkling Gourami,Trichopsis pumila,species,gourami,sparkling-gourami_species.jpg,"Realistic aquarium photograph style image of a Sparkling Gourami fish (Trichopsis pumila), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
giant-gourami_species,Giant Gourami,Osphronemus goramy,species,gourami,giant-gourami_species.jpg,"Realistic aquarium photograph style image of a Giant Gourami fish (Osphronemus goramy), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
chocolate-gourami_species,Chocolate Gourami,Sphaerichthys osphromenoides,species,gourami,chocolate-gourami_species.jpg,"Realistic aquarium photograph style image of a Chocolate Gourami fish (Sphaerichthys osphromenoides), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
licorice-gourami_species,Licorice Gourami,Parosphromenus deissneri,species,gourami,licorice-gourami_species.jpg,"Realistic aquarium photograph style image of a Licorice Gourami fish (Parosphromenus deissneri), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
climbing-perch-puyu_species,Climbing Perch / Puyu,Anabas testudineus,species,gourami,climbing-perch-puyu_species.jpg,"Realistic aquarium photograph style image of a Climbing Perch / Puyu fish (Anabas testudineus), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
green-neon-tetra_species,Green Neon Tetra,Paracheirodon simulans,species,tetra,green-neon-tetra_species.jpg,"Realistic aquarium photograph style image of a Green Neon Tetra fish (Paracheirodon simulans), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
brilliant-rummy-nose-tetra_species,Brilliant Rummy Nose Tetra,Hemigrammus bleheri,species,tetra,brilliant-rummy-nose-tetra_species.jpg,"Realistic aquarium photograph style image of a Brilliant Rummy Nose Tetra fish (Hemigrammus bleheri), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
black-widow-tetra_species,Black Widow Tetra,Gymnocorymbus ternetzi,species,tetra,black-widow-tetra_species.jpg,"Realistic aquarium photograph style image of a Black Widow Tetra fish (Gymnocorymbus ternetzi), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
white-skirt-tetra_variety,White Skirt Tetra,Gymnocorymbus ternetzi,variety,tetra,white-skirt-tetra_variety.jpg,"Realistic aquarium photograph style illustrative placeholder of a White Skirt Tetra (Gymnocorymbus ternetzi), side profile, visible traits: white, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
serpae-tetra_species,Serpae Tetra,Hyphessobrycon eques,species,tetra,serpae-tetra_species.jpg,"Realistic aquarium photograph style image of a Serpae Tetra fish (Hyphessobrycon eques), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
lemon-tetra_species,Lemon Tetra,Hyphessobrycon pulchripinnis,species,tetra,lemon-tetra_species.jpg,"Realistic aquarium photograph style image of a Lemon Tetra fish (Hyphessobrycon pulchripinnis), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
buenos-aires-tetra_species,Buenos Aires Tetra,Hyphessobrycon anisitsi,species,tetra,buenos-aires-tetra_species.jpg,"Realistic aquarium photograph style image of a Buenos Aires Tetra fish (Hyphessobrycon anisitsi), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
red-eye-tetra_species,Red Eye Tetra,Moenkhausia sanctaefilomenae,species,tetra,red-eye-tetra_species.jpg,"Realistic aquarium photograph style image of a Red Eye Tetra fish (Moenkhausia sanctaefilomenae), side profile, species-representative appearance, clean planted aquarium or neutral aquatic background, natural lighting, sharp focus, square composition, no text, no watermark.","text, watermark, logo, label, human hand, distorted anatomy, extra fins, blurry, dead fish, low quality",AI Generated Placeholder,Illustrative placeholder only; not a verified real species photograph.
